OBJECTID,HUC12,Name,RarAqRankSW,RarAqSumSW,RarFish,RarAqAmph,RarAqRept,Shape__Area,Shape__Length
893,180400061004,Saginaw Creek-San Joaquin River,2,0.150943,0,0,1,142253192.863281,68802.0006947059
894,180400060702,Lower Chiquito Creek,4,0.301887,0,2,1,235087185.910156,92237.3462413354
895,180400080107,Tenaya Creek,2,0.150943,0,2,0,128962616.671875,78626.8926155517
896,180400090501,Piute Creek,4,0.301887,0,2,1,210488387.109375,95204.0813205816
897,160503020102,Cascade Creek-West Walker River,3,0.226415,0,3,0,135680338.90625,68412.5573301107
898,160503020201,Deep Creek,0,0,0,0,0,97976146.390625,56983.2196737229
899,160503010109,Buckeye Creek,1,0.056604,1,0,0,234510372.859375,97007.0501563753
900,160503010107,Lower Swauger Creek,0,0,0,0,0,149145895.742188,71247.0490416472
901,160503020206,Topaz Lake,0,0,0,0,0,45773772.015625,32957.0284776785
902,180701010104,Upper Ventura River,5,0.433962,1,1,2,82335671.8789062,51834.2919392148
903,180701010102,North Fork Matilija Creek,3,0.207547,1,0,1,61452873.5234375,38524.0449700684
904,180701020703,Piedra Blanca Creek-Sespe Creek,5,0.716981,2,4,2,221815288.757812,87974.4581120723
905,180600070102,Dry Canyon,0,0,0,0,0,83300270.0898438,50056.7585460652
906,180701020503,Seymour Creek,2,0.150943,0,0,1,70342933.9609375,55916.5421045006
907,180701020502,Cedar Creek-Piru Creek,2,0.150943,0,0,1,170408079.039062,81490.1680901755
908,180701020501,Mutau Creek,2,0.150943,0,0,1,88754552.59375,60239.4023450729
909,180300031602,Buena Vista Lake Bed,4,0.301887,0,0,2,121884105.332031,44543.6175749004
910,180300050503,Town of Vestal-White River,0,0,0,0,0,125926813.417969,94050.126064298
911,180300050601,Dyer Creek,1,0.075472,0,1,0,81432363.5117188,57869.8800284363
912,180300060804,Middle Elk Bayou,0,0,0,0,0,233684723.226562,111741.855660902
913,180300050403,Lower Fountain Springs Gulch,0,0,0,0,0,121465666.015625,56365.9035319772
914,180300071002,Long Creek,2,0.150943,0,2,0,104623079.015625,75898.4272286365
